com,ger,ita,lad,etr
Grumes, 0, 1, 0
Imer, 0, 0.99474606, 0.00525394
Isera, 0.002812374, 0.997187626, 0
Ivano-Fracena, 0, 1, 0
La Valle, 0.015649452, 0.007824726, 0.976525822
Laces, 0.979848866, 0.019731318, 0.000419815
Lagundo, 0.851695855, 0.145865662, 0.002438484
Laion, 0.899393939, 0.039191919, 0.061414141
Laives, 0.279918347, 0.714978311, 0.005103343
Lana, 0.918398768, 0.079003079, 0.002598152
Lardaro, 0, 1, 0
Lasa, 0.98100765, 0.016618307, 0.002374044
Lasino, 0, 1, 0
Lauregno, 0.968115942, 0.031884058, 0
Lavarone, 0.08110687, 0.911259542, 0.007633588
Lavis, 0.002724796, 0.994680161, 0.002595043
Ledro, 0, 0.996, 0.004
Levico Terme, 0.00561542, 0.992259827, 0.002124753
Lisignago, 0, 1, 0
Livo, 0, 0.708229426, 0.291770574
Lona-Lases, 0, 1, 0
Luserna, 0.862318841, 0.137681159, 0
Luson, 0.978231293, 0.013605442, 0.008163265
Magrè sulla strada del vino, 0.843722564, 0.151887621, 0.004389816
Malles Venosta, 0.969230769, 0.029948718, 0.000820513
Malosco, 0, 0.594366197, 0.405633803
Malè, 0, 0.967168999, 0.032831001
Marebbe, 0.028928571, 0.050357143, 0.920714286
Marlengo, 0.86409396, 0.134228188, 0.001677852
Martello, 1, 0, 0
Massimeno, 0, 1, 0
Mazzin, 0, 0.162637363, 0.837362637
Meltina, 0.960893855, 0.036002483, 0.003103662
Merano, 0.504706889, 0.490586222, 0.004706889
Mezzana, 0, 0.984223301, 0.015776699
Mezzano, 0, 1, 0
Mezzocorona, 0, 0.995688726, 0.004311274
Mezzolombardo, 0, 0.988760218, 0.011239782
Moena, 0, 0.16101026, 0.83898974
Molveno, 0, 0.972537879, 0.027462121
Monclassico, 0, 0.986338798, 0.013661202
Monguelfo-Tesido, 0.950862716, 0.04576144, 0.003375844
Montagna, 0.925761421, 0.069162437, 0.005076142
Montagne, 0, 1, 0
Mori, 0, 0.997317784, 0.002682216
Moso in Passiria, 0.995796357, 0.0032695, 0.000934143
Nago-Torbole, 0.002944889, 0.990744636, 0.006310475
Nalles, 0.906017192, 0.087679083, 0.006303725
Nanno, 0, 0.769771529, 0.230228471
Naturno, 0.968317972, 0.030337942, 0.001344086
Nave San Rocco, 0, 1, 0
Naz-Sciaves, 0.935167735, 0.055032039, 0.009800226
Nogaredo, 0, 1, 0
Nomi, 0, 1, 0
Nova Levante, 0.940023068, 0.055363322, 0.00461361
Nova Ponente, 0.97412854, 0.023420479, 0.00245098
Novaledo, 0.006204757, 0.993795243, 0
Ora, 0.697320341, 0.295980512, 0.006699147
Ortisei, 0.093049581, 0.065202626, 0.841747793
Ospedaletto, 0, 1, 0
Ossana, 0, 1, 0
Padergnone, 0, 1, 0
Palù del Fersina, 0.94011976, 0.05988024, 0
Panchià, 0, 0.976839237, 0.023160763
Parcines, 0.959344838, 0.038022814, 0.002632349
Peio, 0, 0.983597594, 0.016402406
Pellizzano, 0, 0.984084881, 0.015915119
Pelugo, 0, 1, 0
Perca, 0.948467967, 0.043175487, 0.008356546
Pergine Valsugana, 0.014754364, 0.983300005, 0.00194563
Pieve Tesino, 0, 1, 0
Pieve di Bono, 0, 1, 0
Pinzolo, 0, 0.994496044, 0.005503956
Plaus, 0.976265823, 0.023734177, 0
Pomarolo, 0, 1, 0
Ponte Gardena, 0.8125, 0.136363636, 0.051136364
Postal, 0.76626506, 0.227710843, 0.006024096
Pozza di Fassa, 0, 0.123634558, 0.876365442
Praso, 0, 1, 0
Prato allo Stelvio, 0.972160709, 0.02720658, 0.000632711
Predazzo, 0, 0.982394366, 0.017605634
Predoi, 0.973377704, 0.026622296, 0
Preore, 0, 1, 0
Prezzo, 0, 1, 0
Proves, 0.977272727, 0.022727273, 0
Rabbi, 0, 0.948453608, 0.051546392
Racines, 0.977694294, 0.021366518, 0.000939188
Ragoli, 0, 1, 0
Rasun Anterselva, 0.984104046, 0.011560694, 0.00433526
Renon, 0.952018805, 0.045492257, 0.002488938
Revò, 0, 0.714785652, 0.285214348
Rifiano, 0.977946768, 0.018250951, 0.003802281
Rio di Pusteria, 0.953612167, 0.039163498, 0.007224335
Riva Del Garda, 0.000861203, 0.995406918, 0.003731879
Rodengo, 0.996551724, 0.002586207, 0.000862069
Romallo, 0, 0.462365591, 0.537634409
Romeno, 0, 0.688870837, 0.311129163
